tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone,Coordinates,GeoEnabled,Language,TweetPlace
1563339913638346758,b'@hernandezmack Por la gran puta yo por unos quinientos mil le hago esa mierda y hasta viajo a otros pa\xc3\xadses a promoc\xe2\x80\xa6 https://t.co/fCsyC1od7h',0,0,Twitter for Android,2022-08-27 01:37:35+00:00,1128861204896800769,CarlosC34684382,Carlos Castillo,2019-05-16 03:14:19+00:00,,313,1215,Guatemala,,,False,,null
1563339906985865217,"b'#Comunicado \xf0\x9f\x93\x84| Concluye II Conferencia Nacional de Migraci\xc3\xb3n. Participan autoridades de M\xc3\xa9xico, Guatemala, Honduras\xe2\x80\xa6 https://t.co/z9ToNbeWl4'",0,1,Twitter for iPhone,2022-08-27 01:37:33+00:00,182416570,SEGOB_mx,Gobernación,2010-08-24 15:06:02+00:00,Secretaría de Gobernación. Teléfono de contacto: 55 5209-8800.,1482624,335,México,,,True,,null
1563338957017870337,b'me mocho una teta si coldplay viene a guatemala',0,0,Twitter for Android,2022-08-27 01:33:47+00:00,1024039527126577152,angievaes,angie,2018-07-30 21:10:23+00:00,dulce como el ácido sulfúrico,17490,2493,gt,,,False,,null
1563338921647280128,b'IV Torneo Internacional de Besibol \nJornada 3\nGuatemala \nVs\nEl Salvador https://t.co/vosnrqYFcr',0,1,Twitter for Android,2022-08-27 01:33:39+00:00,27593833,alexochoa,🇬🇹🌟Alex 🎱🅰.🌟,2009-03-30 05:57:06+00:00,"💙#HinchaDeLaUsac💙🤘100%Rock Chapin 🎸
Liga Nacional De Fútbol de Guatemala ( ⚾️⚾️👈😍😍😍)",360,560,Guatemala 🇬🇹,,,True,,"Diamante ""Trapo"" Torrebiarte"
1563338606286360582,"b'En la actividad se plantaron mil 500 \xc3\xa1rboles, con el apoyo de 200 voluntarios, entre ellos,  estudiantes de la Escu\xe2\x80\xa6 https://t.co/CiZ3rNL3Og'",0,0,Twitter for iPhone,2022-08-27 01:32:23+00:00,498970290,marngt,Ministerio Ambiente y Recursos Naturales,2012-02-21 16:37:40+00:00,El MARN garantiza el cumplimiento del derecho humano a un ambiente saludable y ecológicamente equilibrado de la población guatemalteca.,49391,380,Guatemala,,,True,,null
1563338212818690048,b'Condiciones actuales en Guatemala. Usa nuestra app para pron\xc3\xb3sticos en tu municipio :: https://t.co/gFmoCP2X7m :: https://t.co/QA9fAGhUhA',0,0,ClimaGT twitterbot,2022-08-27 01:30:50+00:00,205939796,climagt,#climaGT 🇬🇹,2010-10-21 23:04:57+00:00,"Medio digital s/el pronóstico y análisis del tiempo en Guatemala. Pronósticos automatizados, noticias, servicios, datos https://t.co/8UhnbAKznk Red https://t.co/P6rxKHI9MF",16620,239,Guatemala,,,True,,null
1563338130484502528,b'GUATEMALA VUELVE A BRILLAR EN LA ACADEMIA 20 A\xc3\x91OS: https://t.co/UZUaKaolAi',0,0,Periscope,2022-08-27 01:30:30+00:00,3980478627,regladetrestv_,REGLA DE TRES,2015-10-17 15:54:43+00:00,Programa de entretenimiento para jovenes de mente amplia.,562,35,Guatemala,,,False,,null
1563338014428123136,"b'\xf0\x9d\x90\x88\xf0\x9d\x90\x88 \xf0\x9d\x90\x89\xf0\x9d\x90\x8e\xf0\x9d\x90\x91\xf0\x9d\x90\x8d\xf0\x9d\x90\x80\xf0\x9d\x90\x83\xf0\x9d\x90\x80\xf0\x9d\x90\x92 \xf0\x9d\x90\x84\xf0\x9d\x90\x85| \n\nLe invitamos a participar en las II Jornadas de Educaci\xc3\xb3n Financiera el \xf0\x9f\x93\x8529, 30 y 31 de agosto de\xe2\x80\xa6 https://t.co/fOmIWzXbmR'",0,1,Emplifi,2022-08-27 01:30:02+00:00,311848983,sib_guatemala,SIB Guatemala,2011-06-06 04:58:10+00:00,Conozca la lista de entidades Supervisadas por la SIB,25842,324,"Guatemala, Guatemala ",,,True,,null
1563338005858750464,"b'A principios de julio lleg\xc3\xb3 a los cines la nueva pel\xc3\xadcula Thor: Love and Thunder, y en ella hay m\xc3\xa1s de un Hemsworth\xe2\x80\xa6 https://t.co/4a2qExkQZ8'",0,0,TweetDeck,2022-08-27 01:30:00+00:00,260318585,DiariodeCA,Diario de Centro América,2011-03-03 17:01:11+00:00,"Versión digital del Diario de Centro América, diario oficial del Estado de Guatemala y decano de la prensa del Istmo, fundado en 1880.",80146,775,GUATEMALA,,,True,,null
1563338004994744320,"b'#Educaci\xc3\xb3nGT | La escuela se ubica en la aldea El Hato, en Antigua Guatemala, Sacatep\xc3\xa9quez.\n\nhttps://t.co/wvDx0bjJ2y'",0,0,Twitter Web App,2022-08-27 01:30:00+00:00,235332308,AGN_noticias,AGN,2011-01-07 22:54:41+00:00,La Agencia Guatemalteca de Noticias es un espacio noticioso que ofrece información pública de forma inmediata y completa.,60233,337,Guatemala,,,False,,null
